"caudate","thalamus","putamen","pallidum","bilateral_hippocampus","amygdala","accumbens.area","VentralDC","Left.Lateral.Ventricle","Right.Lateral.Ventricle","ICV"
6977,11917.3,8895.4,3523.7,7647.2,3315,830.2,7913,14875.9,15043.9,1563788.32
6191.9,12792.9,8394.5,3709.1,7782.4,2770.9,1022.5,8161.2,5878.8,4418,1274207.925
7953.3,16594.9,11260.2,4993.3,8927.4,3372.4,1338.4,10716.3,7201.1,5105.6,1799948.847
7028.8,13736.6,9770.3,3736.4,7128.8,2773.1,986.2,8206.5,13219.6,12896.9,1581129.12
6055.9,14792,8040,3287.7,8344.9,2740.1,769.6,7840.3,9428.5,8587.9,1464013.161
6397.3,13250.4,9381.7,3613.2,7837.5,2876.2,1059.3,8216.5,6232.8,7117.1,1476829.045
6520.9,12855.6,9521.4,3415.3,7151.6,2818.7,1066.6,7149.8,8499.1,6728.4,1124543.806
6481.8,11967,8365.7,3711.3,7251.7,2724.8,1001.1,7814.1,5247.4,4491.6,1265600.849
6097.9,11746.9,7913.9,2849.1,6098.4,1825,374,5305.5,16827.5,12661.9,1245649.695
6514.2,12537.1,9172.8,3277.6,8400.4,3213.8,1030,8065,4363.2,4183.8,1215663.273
6653.9,11546.2,7870.4,3293.2,7496.6,2933.8,754.7,6620.5,8994.4,9076.4,1309252.422
7412.7,13689.2,9751.6,3606.2,8363.8,3356.5,908.8,8028.7,15005.4,14196.8,1804699.379
6360.7,13296.5,8185.9,2887.5,7630.1,2378.2,993.9,8345.5,34882,31428.7,1825887.495
6725.4,13833.9,8831.3,3873.6,6533.7,2561.6,721.5,7294.4,12954.7,10618.1,1522885.555
6219.8,10882,8126.7,2657,7491.2,2662.3,818.4,7050.8,9729.1,9402.3,1409886.051
6791.7,10846.9,8615.7,3881.1,7177.5,2710.1,898.2,6788.7,8212.2,8249,1192049.18
4800.8,12090.7,7330.4,2753.8,6748,2412.1,712.4,6601.5,9143.3,5931.5,1298079.881
5549.5,12144.6,7575.2,2610.5,7446,2885.4,799.8,7020.6,1905.9,1808.2,1246984.774
5314.1,10189.5,6219.8,2328.8,6944.2,2007.9,664.5,5553.5,22842.2,24485.6,1418943.173
7689.2,14733.7,11339.6,3813.9,8711.7,3924.1,1230.6,8489,9898.3,9971.3,1629475.522
6139.4,14298.6,9625.7,3315.4,7439.6,2967.8,1098.2,7645.4,6044.7,6276.8,1261054.851
6818.7,14892.3,9844,3794,8570.3,3211.6,1035.1,7828.4,4545.9,4725.5,1444935.437
7274.3,13156.3,8951,3535.8,7728.4,2881.3,646.8,7111.3,22482.7,14288.5,1589891.872
7716.2,12161.4,8684.8,3338.9,7355.2,2797.1,1000.8,7066.9,6163.8,4805.7,1421547.318
5094.8,10356.1,7364.3,2826.2,6153.2,2732.8,947,5895.9,10039.2,12420,1288104.434
5268.6,11369.7,7280.7,3200.7,7150.5,2556.7,821.9,5928.5,6117.6,6118.2,1138797.559
6460.5,14872.5,8742.4,3778.7,8696.9,3693.8,1153.1,8357.4,6704,6490.2,1541319.843
7054.9,14099.6,8753.6,3690.2,7481.2,2520.3,1306.6,8359.4,6542.6,6033.8,1334908.264
5589.4,12930.2,9416.3,3664.3,8614.3,3325.5,861.6,7796.7,5215.2,4799.7,1349140.516
7036,14899.9,10632.7,3916.9,8975.3,3673.1,1183.9,8708.2,4950.1,8276,1594500.099
8116.3,11865.4,10321.1,3848.6,7403,2847.9,926.5,7650.4,24190.1,19856.6,1657612.317
8308.4,11456.6,8456.2,3462.9,6979.3,2281.8,703.7,7269.8,22025.3,22444.3,1476651.161
6486.4,14532.5,9354.9,3997.6,7942.3,3178.2,950.5,7836.2,4207.5,5714.3,1422104.365
7673.8,16877.1,11517.8,4312.6,10001.5,3624.6,1286.7,10048.9,11672.2,9353.8,1873358.216
6405.3,12709.5,8445.5,3008.5,7001.1,2882.9,915.5,6642.5,6088.7,5842.9,1226286.517
7516.9,12576.3,8097.6,3532,7454.6,2399.5,980.9,8001.9,21405.1,19087.7,1682086.844
7270.4,15449.5,10685.2,3993.2,7522,2884.3,990.1,8495.4,9023.6,8223,1665069.131
5771.3,12852.5,9050.3,3979.6,8706.7,2556.6,835.5,8293.1,9954.7,8903,1534061.848
6229,13715,8767.4,3422,8378,3391.9,978.8,8027.4,7360.4,7030.4,1475413.303
7960.1,10636.3,7190.2,3121.1,6401.8,1976.1,676.7,6288.1,25451.2,28413.1,1674053.491
7284.9,13807.3,8565.8,3665.1,8748.3,3151.8,1076.5,9091.4,12072.5,10502.6,1633998.09
7603.2,14461.9,8909.6,3681.5,7555.2,2895.1,1208.7,8117.2,4106.3,3842.6,1515613.043
8570.4,14019.5,9483.4,3884.7,7432.1,3185.1,962.5,7987.1,14088.5,13712.7,1677562.464
8990.1,12621.4,9017.1,3382.9,7152.4,3129.7,921.4,7962.3,10565.1,7074.8,1275948.867
7277.7,11482.1,8027.5,3101.4,6897.5,2660.3,1073.4,7137.9,9989.5,7479.7,1329178.512
6755,12301.5,8806,3823.7,8725,3455.9,886.3,7828.6,7259.3,6164.2,1481579.109
6869.1,14822.6,7409.1,3454,7704,2642.2,910.9,7493.8,20167.9,16304.5,1704281.22
7404.1,13248.6,8543.9,3698.4,7876.5,3045.8,937.9,7712.1,9963.4,11102.6,1288766.758
6803.4,12635.8,9294.7,3618.9,7571.3,3083.9,1062.3,8190.4,8544.5,8407.4,1379062.854
6924.9,14443.2,9458.7,3779,9176.3,3091.1,994.5,8051.8,7797,7786.4,1322059.667
5884.2,11513.5,8379.9,3704.2,6846.3,2565.1,672.1,7225.4,13779.6,13464.1,1483431.035
5498.5,12949.6,8997.1,4012.3,7376,2691.9,918.5,8116.4,3496.3,2731.3,1205944.6
6354.4,12884.8,10086,3654.3,7578.8,3309.2,1157.8,7986.7,3182.9,3021.4,1397586.354
7659.7,14379.8,10265.3,3980.9,9122.3,3379.8,945.6,8066.6,7079.3,7312.2,1659584.386
6205.5,14746.9,10407.8,3887.1,7761.1,3223.7,1106.6,8269.2,7592.3,4776.1,1555251.861
6817.8,14174.3,9400.1,3666,7108.6,3102.3,962,7754.9,8727.8,7927.6,1628728.793
7369.8,13136.8,8961.7,3414.7,7446,2796.7,913.8,7622.8,15911.3,16070.7,1640720.976
8114.6,15300.1,9714.7,3871.7,9290.7,4061.6,1023.5,10020.3,38944.1,30179.8,2037781.567
7464.3,14857.8,9624.8,4421.2,8367,3212.8,1041.3,8143.7,6386.7,6184.1,1410181.934
5998.3,12041.8,8545.5,3395.8,8295.3,2830.8,918.5,7578.2,5427.6,5843.6,1369489.144
8472.3,13050.7,9180.2,3499.4,6372.6,2488.2,799.2,7256,53192.4,60394.5,1928691.727
6247.1,13700.9,9266.4,3268.7,7763.3,3167.6,1104.8,7195.6,8383.9,9821.7,1415458.527
5587.9,13000.3,8905.1,3484.2,7853.5,3125,1033.3,8027.5,21415.5,15052.6,1619414.062
6956.1,11218.1,8417.7,3309.1,5035.9,1876.1,658.2,6416.7,12666.4,10160,1347187.938
7607.3,14061.2,9360.7,3662.5,8392.8,2710.4,909.4,8300.1,16920.2,16280.8,1642644.779
9922.7,16914.5,10085.9,4268.5,8733.2,4029.3,1325.4,9985.5,17745,15043.2,1823244.129
6744.3,14428.9,9925.6,3666.3,7688.5,2808.7,1018.7,8443.6,6757.4,6836.3,1414989.123
6869.4,10608.5,6851,2723.1,5624,2107.9,524.8,6564.2,32459.7,26737.6,1564729.985
6373,15707.5,9778.6,3626.9,8625.7,3650.1,1384.6,9105.3,6264.1,5563.2,1459460.387
7709.5,13821,7966.1,3888.6,6836.9,3123.9,947.5,8611.2,63412.9,42106.1,2101609.181
7305.5,13972.4,8835.5,3608.5,7870,3060.1,1037.8,7865.5,3478,4340.1,1367412.959
7490.2,13691.5,8616.5,3296.6,7700,2909.9,1085.4,8784.1,9156,7938.3,1480496.459
5640.3,12417.1,7395.2,2969.7,7024.8,2836.8,747.2,7160.3,6176.4,7048.1,1224294.401
7299.4,15696.9,11001.7,4185.4,9116.4,3679.7,1202.7,9745.4,5397.9,5836.5,1707282.624
8345.3,12478.4,9309.6,4501.3,6996.7,2657.4,1010.9,6975.2,46499.5,32498,1708114.743
6792,13827.2,6092.4,2896,7530.2,2538.6,768.6,7451.1,18144.6,16373.8,1704228.789
6922.6,13476.6,8842.4,3393,8179.5,2713,1033.4,8063.8,8863.4,8236.7,1467882.225
6645.4,14688.5,10025.3,3996.9,8408,3085.4,1144,8779.9,6365.7,6090.9,1642830.554
7985.2,14334.6,10115.4,3747.1,8051.1,3363.5,952.5,8009.3,9369.3,8415.4,1675737.318
8845.6,14188,10897.1,4297.5,8454.7,3594.7,1334.5,8887.3,4415.2,4064.2,1604024.001
6454.6,11925.3,7449.1,3458.5,7765.8,2371.3,824.5,7075.1,8251.8,8363.2,1276033.653
7223.2,12929.6,9173.9,3870.7,8431,3280.2,1174.3,7969.2,5572.8,5576.6,1479028.3
11561,13039.9,11530.7,3400.1,7264.3,2329.5,837.7,6967.4,19408.9,12773.8,1691358.346
6417.2,12026.1,9684.5,3860.4,7937.8,2809.9,1260,6843.3,3625.1,2951.5,1114401.481
6251.6,11677.8,8089.1,2825.5,6724,2189.4,872.5,6456.5,9309.8,10870.3,1267747.378
7151.6,15616.1,10346.8,3998.8,7974.6,3365.3,1155.2,8962.9,9544.2,11387.5,1581761.329
7751,13973.8,10575.3,4275.7,9440.9,3691.3,1074.6,8940.3,9771.2,8521.4,1649519.235
5633.9,12712.6,8408.1,3669.1,7245.8,2962.1,906.3,7971.9,14355.9,13335,1642220.545
6214.1,12862.8,8111.3,2900.4,7543.5,2657.8,907.4,7429.7,9033,8940.3,1344174.001
7659.6,14900.7,10075.3,4224.2,8935.2,3473.9,1097.1,8241.1,5223.8,4332.8,1553978.958
7056.6,14134.6,9818,4041.5,8633,3460.7,1189.1,9207.4,17412.4,13385,1835098.137
7495.5,13198.5,8255.9,4002,7388.7,2710.9,1015.1,7519.3,11497.4,11631.2,1664017.267
6990.1,11172.9,8000.4,2757.8,5234.3,2007.6,684.9,6122.4,18337.5,18710.1,1448051.691
8119.8,12956.6,11159.8,3726.4,8556.4,3617.1,1312.4,7939.4,6687.5,4798.8,1475190.349
6702.5,14969.7,10188.4,3826.2,8629.7,3506,996.3,9159.5,35310.5,20551.3,1878042.711
5556.7,11084.1,6177.9,2530.4,6725.9,2160.4,700.2,6748.8,15330.5,13833.3,1350661.915
9440.6,16781.2,11207.4,4925.9,9346.7,3814.3,1336.1,10163.8,6763,6741.6,1872080.02
5828,13029.6,8376.1,3231,7753,2875.4,857.6,7630.6,8573.1,6408.9,1500595.768
5616.9,12240.8,7200.5,3059.6,7200.7,2601.3,676,7831.3,13728.9,16148.4,1635953.97
7893.2,14020.9,9151.3,4215.1,8206.8,2936.7,775,8366.4,11489.9,13126.2,1662029.753
6876.2,13314.9,8937,3847.4,7743.4,3456.4,866.6,7877.3,23885.5,17239.7,1766669.093
6340.5,14153.3,8203.9,3375.3,6814.1,2595,941.4,7860.4,7147.6,6450.4,1316009.358
6808.8,15440.7,9551.4,3687.8,9061.9,3807.7,1139.2,9068.5,6056,10578,1779525.375
6330.7,14528.6,9403.2,3621.1,8372.8,3369.4,1093.7,8228.8,5451.9,5005.3,1234384.103
7648.7,14302.7,10203.8,4180.3,9941.9,3472.1,1124.2,9348.6,6741.7,5627.7,1597160.861
5452.7,11718.3,7485.1,2738.6,8236.3,2890.6,954.9,7109.5,3300.9,3092.3,1148140.939
6625.6,11484.2,8189,3135.3,7264.2,2575.1,905.9,6512.2,12906.3,13316.5,1409361.626
7944.7,16141.4,11762.7,4381.2,8487.9,2891.5,1369.5,9272.1,6993.3,7761.7,1537734.732
6474.3,11954.7,9244.4,3247,6840.9,2852,819.7,7060,18563,23765.4,1593763.625
5642.1,11253.2,7220.5,2698.9,6535.3,2501.8,734.2,7306,14114.3,14527.3,1492872.369
7615.9,11042.3,9100,3285,7834.3,2878.1,824,7332.3,11778.9,10714.6,1383862.579
6722.1,12441.7,8332.3,3293.1,6763.3,2438.8,925,6938.2,5573,5039.1,1302145.308
6896,14768,9686,3740.4,7503.4,3071.7,1057.1,8349.2,11972.5,9310.6,1645153.223
5588.7,10783.8,7709.6,3077.4,7153.5,2642.7,901,6521.1,8412.5,5914.1,1139175.826
7313.4,15833.5,10972,4789.1,8626.9,3378.5,1281.9,9092.3,7260.3,7791,1685764.718
6646,12400.3,8790,3718.7,7017.9,2824.8,1013.8,7229.4,10579.3,13214.5,1522744.645
6155.5,12774.7,7872.6,3501.3,6906.3,2479.7,931.8,6996.1,11036.9,8034.3,1341594.779
6061.6,12292.4,10097,3391.9,8034.8,3227.7,966.6,7644.8,14047.3,15560.1,1618433.498
5911.2,15559.2,8546.6,3673.2,6969.9,2735.1,1225.4,8684.6,5920.2,4300.2,1423970.8
6503.3,12850.1,9396.8,3421.7,6299.5,2585.3,1080.4,8133.6,9775,10685.3,1443310.883
5833.1,11126.1,6890,3262.1,6252.5,2230.4,707.1,6611,8188.8,7398.8,1296754.006
7605.1,15292.2,11163.8,4239.8,8697.2,3506.4,1299,9024.5,14765.6,8444.7,1765592
6587.6,11893,7585.8,3625.5,6615.6,2366.4,726.5,6575.3,27900.9,21354.3,1640191.382
5976.3,11304.8,8148.8,3748.7,6619.7,2356.9,674.8,7447.2,23872.9,19859,1520340.574
6688.8,15042.7,9548.5,4209.5,8211,2928.6,1156.2,9010.1,7365.3,7170.9,1326813.076
6206.3,13702.3,7891,3229.4,8195,2668.2,799.8,7097.4,6193.4,5811.5,1418223.653
6107.4,14007.3,7701.9,3715.2,7798.7,2607.2,1081.9,9407.2,7320.1,6858.6,1517093.784
5962.4,10389.6,8367.5,3036.5,6596.6,2734.6,853.7,6382.8,4391.3,4343.6,1001227.775
6748,13935.3,8732.4,3457.3,8004.4,2868.1,1021.6,7691.1,8037.3,7374.9,1437759.718
7059,11094.1,8683,3254.1,7706.7,2786.2,977.8,6998.8,8521,9247.6,1323123.973
6320.4,14176.5,9031.6,3789.4,8432.4,3211.6,1007.2,8665.2,11801.7,8303.9,1609407.775
7417.5,15684.8,11575.7,4314.9,9705.7,3822.9,1147.8,8758.2,13936.6,11813.9,1832029.322
5854.2,13685.8,8065.4,3256.5,7530.4,3088.3,1057.1,8363.4,5860.7,6354,1399822.154
7332.8,13811.3,9390.4,4124.3,7398.8,2494,974.3,8302.3,16073.4,15999.5,1776558.154
7540,13657.8,9780.8,4108.9,7796.4,2817,813.4,7612.5,13326.6,9598,1643788.166
6003.1,11702.8,7374.3,3220.5,6077.1,2130.8,588.3,6305.3,22924.6,19121.7,1617441.795
6593.1,11879.3,9033.9,3435,7118.7,2992.6,1109.1,7085.9,4790.5,3541.7,1292438.002
7098.9,15131.5,10080.1,3431.9,7631.9,2667.5,846,8634,18654.9,19301.3,1936769.516
6263,11342.5,6960.4,2369.2,7138.2,2385,854,6853.7,13008.4,11946.7,1466717.464
